id,smiles
P4.1,c12c3ccccc3c4ccccc4c1cccc2
P4.2,c1(c(ccc2c1cccc2)cc3)c4c3cccc4
P4.3,c1(ccccc1cc2)c3c2c4ccccc4cc3
P4.4,c1(ccccc1cc2cc3)cc2c4c3cccc4
P4.5,c12cc3cc4ccccc4cc3cc1cccc2
P5.1,c1(ccccc1cc2)c3c2c4c5ccccc5ccc4cc3
P5.2,c1(c(ccc2c1c3ccccc3cc2)cc4)c5c4cccc5
P5.3,c1(ccccc1cc2)c3c2c4ccc5ccccc5c4cc3
P5.4,c1(ccccc1c2ccccc32)c4c3c5ccccc5cc4
P5.5,c1(c(ccc2c1cccc2)cc3cc4)cc3c5c4cccc5
P5.6,c12cc3ccccc3cc1c4ccccc4c5c2cccc5
P5.7,c1(ccc2ccccc2c1cc3cc4)cc3c5c4cccc5
P5.8,c12cc3c4cc5ccccc5cc4ccc3cc1cccc2
P5.9,c12c3cc4ccccc4cc3ccc1ccc5c2cccc5
P5.10,c12ccc3c4cc5ccccc5cc4ccc3c1cccc2
P5.11,c1(ccccc1cc2cc3cc4)cc2cc3c5c4cccc5
P5.12,c12cc3cc4cc5ccccc5cc4cc3cc1cccc2
P6.1,c12cc3cc4cc5cc6ccccc6cc5cc4cc3cc1cccc2
P6.2,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5cccc6
P6.3,c1(ccccc1cc2cc3cc4)cc2cc3c5c4cc6ccccc6c5
P6.4,c1(ccccc1cc2cc3cc4)cc2cc3c5c4c6ccccc6cc5
P6.5,c1(ccccc1cc2cc3)cc2c4c3c5cc6ccccc6cc5cc4
P6.6,c1(c(ccc2c1cccc2)cc3cc4cc5)cc3cc4c6c5cccc6
P6.7,c1(c(ccc2c1cccc2)cc3cc4)cc3c5c4c6ccccc6cc5
P6.8,c1(ccc2c34)cc5ccccc5cc1c2ccc3ccc6c4cccc6
P6.9,c1(c(ccc2c1cccc2)cc3)c4c3c5c6ccccc6ccc5cc4
P6.10,c1(ccccc1cc2cc3cc4)cc2cc3c5c4ccc6ccccc56
P6.11,c1(ccc2ccccc2c1cc3cc4cc5)cc3cc4c6c5cccc6
P6.12,c1(ccccc1cc2c3c4c5)cc2ccc3ccc4cc6c5cccc6
P6.13,c12cc3cc4ccccc4cc3cc1c5ccccc5c6c2cccc6
P6.14,c1(ccccc1cc2cc3)cc2c4c3cc5c6ccccc6ccc5c4
P6.15,c1(c(ccc2c1cc3ccccc3c2)cc4cc5)cc4c6c5cccc6
P6.16,c1(ccccc1c2ccccc32)c4c3c5ccccc5c6ccccc46
P6.17,c1(cc2ccccc2cc1c3ccccc43)c5c4cc6ccccc6c5
P6.18,c12cc3ccccc3cc1ccc4c2c5ccccc5c6ccccc46
P6.19,c(c1cc2)(c3ccccc3c4ccccc14)c5c2c6ccccc6cc5
P6.20,c(c1cc2cc3)(c4ccccc4c5ccccc15)cc2c6c3cccc6
P6.21,c12cc3ccc4ccccc4c3cc1ccc5c2ccc6ccccc56
P6.22,c1(ccccc1cc2cc3)cc2c4c3ccc5c6ccccc6ccc45
P6.23,c12cc3ccc4ccccc4c3cc1ccc5c2c6ccccc6cc5
P6.24,c1(ccccc1c2ccc3ccccc3c42)c5c4c6ccccc6cc5
P6.25,c1(ccccc1c2ccc3ccc4ccccc4c3c52)c6c5cccc6
P6.26,c1(ccccc1cc2c3ccc4ccccc4c53)cc2c6c5cccc6
P6.27,c1(ccccc1cc2cc3)cc2c4c3c5ccc6ccccc6c5cc4
P6.28,c1(c(ccc2c1c3ccccc3cc2)cc4cc5)cc4c6c5cccc6
P6.29,c1(ccc2c3ccccc3ccc2c14)ccc5c4ccc6ccccc56
P6.30,c1(ccccc1cc2c3c4ccccc4ccc53)cc2c6c5cccc6
P6.31,c12c3ccc4c5ccccc5ccc4c3ccc1ccc6c2cccc6
P6.32,c1(ccccc1c2c3ccccc3ccc2c4cc5)c4c6c5cccc6
P6.33,c12ccc3c4c5ccccc5ccc4c6ccccc6c3c1cccc2
P6.34,c12ccc3c4ccc5c6ccccc6ccc5c4ccc3c1cccc2
P7.1,c1(ccccc1cc2cc3cc4cc5cc6)cc2cc3cc4cc5c7c6cccc7
P7.2,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5cc7ccccc7c6
P7.3,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5c7ccccc7cc6
P7.4,c1(ccccc1cc2cc3cc4)cc2cc3c5c4c6cc7ccccc7cc6cc5
P7.5,c1(c(ccc2c1cccc2)cc3cc4cc5cc6)cc3cc4cc5c7c6cccc7
P7.6,c1(ccccc1cc2cc3cc4)cc2cc3c5c4cc6c7ccccc7ccc6c5
P7.7,c1(ccccc1cc2cc3cc4)cc2cc3c5c4c6c7ccccc7ccc6cc5
P7.8,c1(ccccc1ccc2cc3cc4cc5)c2cc3cc4c6c5cc7ccccc7c6
P7.9,c1(ccccc1cc2cc3cc4)cc2cc3c5c4c6ccccc6c7ccccc57
P7.10,c1(ccccc1cc2cc3)cc2c4c3cc5c6ccccc6ccc5c4
P7.11,c1(ccccc1cc2cc3)cc2c4c3c5ccc6cc7ccccc7cc6c5cc4
P7.12,c1(c(ccc2c1cccc2)cc3cc4cc5)cc3cc4c6c5c7ccccc7cc6
P7.13,c1(ccccc1cc2c3ccc4cc5cc6)cc2ccc3c4cc5c7c6cccc7
P7.14,c12cc3ccc4c5cc6ccccc6cc5c7ccccc7c4c3cc1cccc2
P7.15,c1(ccccc1cc2c3cc4ccccc4cc53)cc2c6c5cc7ccccc7c6
P7.16,c12ccccc1c3cc4ccc5cc6c7ccccc7ccc6cc5c4cc3cc2
P7.17,c12ccc3c4ccc5c6ccc7ccccc7c6ccc5c4ccc3c1cccc2
P7.18,c1(ccccc1ccc2c34)c2ccc3c5ccc6ccccc6c5c7c4cccc7
P7.19,c1(ccccc1c2ccc3c4ccccc4c5c6cccc5)c7c(c2c63)cccc7
P8.1,c1(ccccc1cc2cc3cc4cc5cc6cc7)cc2cc3cc4cc5cc6c8c7cccc8
P8.2,c1(ccccc1cc2cc3cc4cc5cc6)cc2cc3cc4cc5c7c6cc8ccccc8c7
P8.3,c1(ccccc1cc2cc3cc4cc5cc6)cc2cc3cc4cc5c7c6c8ccccc8cc7
P8.4,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5c7cc8ccccc8cc7cc6
P8.5,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5ccc7cc8ccccc8cc67
P8.6,c1(ccccc1cc2cc3cc4)cc2cc3c5c4ccc6cc7cc8ccccc8cc7cc56
P8.7,c1(ccccc1cc2cc3cc4)cc2cc3c5c4cc6c7cc8ccccc8cc7ccc6c5
P8.8,c1(ccccc1cc2cc3)cc2c4c3c5cc6ccc7c8ccccc8ccc7c6cc5cc4
P8.9,c1(ccccc1cc2cc3cc4cc5c6ccccc76)cc2cc3cc4cc5c8c7cccc8
P8.10,c(c1cc2cc3c4ccccc54)(c6ccccc6c7ccccc17)cc2cc3c8c5cccc8
P8.11,c12cc3cc4ccc5c6ccccc6ccc5c4cc3cc1c7ccccc7c8c2cccc8
P8.12,c12ccccc1c3ccc4c5ccc6c7ccc8ccccc8c7ccc6c5ccc4c3cc2
P8.13,c12cc3cc4ccccc4cc3cc1c5ccccc5c6c2ccc7ccc8ccccc8c67
P8.14,c1(cc2ccccc2cc1cc3cc4cc5)cc3cc4c6c5cc7cc8ccccc8cc7c6
P8.15,c1(ccc2ccccc2c1cc3cc4cc5cc6cc7)cc3cc4cc5cc6c8c7cccc8
