No,DPO equation,BG,IP,EA
P4.1,1+2*b,4.837,6.134,1.297
P4.2,1+2*b,4.168,5.812,1.644
P4.3,1+b+d,4.207,5.799,1.592
P4.4,2-a+b,3.72,5.599,1.879
P4.5,3-3*a,2.747,5.131,2.384
P5.1,1+2*b+d,4.2010000000000005,5.813,1.612
P5.2,1+2*b+c,4.122,5.768,1.646
P5.3,1+2*b+d,4.19,5.779,1.589
P5.4,1+2*b+d,4.042,5.723,1.681
P5.5,2-a+2*b,3.887,5.692,1.805
P5.6,2-a+2*b,3.853,5.695,1.842
P5.7,2-a+2*b,3.846,5.654,1.808
P5.8,2-a+b+d*b,3.7489999999999997,5.593,1.844
P5.9,2-a+b+c,3.411,5.448,2.037
P5.10,2-a+b+d,3.469,5.478,2.009
P5.11,3-3*a+b,2.92,5.226,2.307
P5.12,4-6*a,2.188,4.87,2.682
P6.1,5-10*a,1.78,4.68,2.9
P6.2,4-6*a+b,2.336,4.952,2.616
P6.3,3-3*a+b+d*b,2.998,5.274,2.276
P6.4,3-3*a+b+d,2.782,5.165,2.383
P6.5,2-a+b+d+d*(1-a),3.117,5.316,2.199
P6.6,3-3*a+2*b,3.091,5.321,2.23
P6.7,2-a+2*b+d,3.6189999999999998,5.558,1.939
P6.8,2 - a + b + d + b*d,3.469,5.479,2.01
P6.9,1+2*b+d+d*b,3.918,5.682,1.764
P6.10,3-3*a+b+c,2.755,5.139,2.384
P6.11,3-3*a+2*b,3.0839999999999996,5.315,2.231
P6.12,2-a+b+c+d*c,3.0269999999999997,5.271,2.244
P6.13,3-3*a+2*b,3.016,5.294,2.278
P6.14,2-a+b+d*b+d*d,3.622,5.549,1.927
P6.15,2-a+2*b+d*b,3.67,5.593,1.923
P6.16,1+2*b+d+c,3.807,5.57,1.763
P6.17,2-a+2*b+d*b,3.8489999999999998,5.739,1.89
P6.18,2-a+b+c+d,3.313,5.384,2.071
P6.19,1+3*b+d,4.13,5.772,1.643
P6.20,2-a+3*b,3.983,5.756,1.773
P6.21,2-a+2*b+d,3.6060000000000003,5.544,1.939
P6.22,2-a+b+c+d*b,3.4819999999999998,5.493,2.01
P6.23,2-a+2*b+c,3.5589999999999997,5.53,1.971
P6.24,1+2*b+2*d,3.8939999999999997,5.637,1.743
P6.25,1+2*b+c+d,4.023,5.733,1.71
P6.26,2-a+2*b+d,3.5869999999999997,5.531,1.944
P6.27,2-a+b+d+d*b,3.5210000000000004,5.518,1.997
P6.28,2-a+2*b+c,3.549,5.523,1.974
P6.29,1+2*b+d+d,3.9010000000000002,5.683,1.782
P6.30,2-a+2*b+c,3.548,5.501,1.953
P6.31,1+2*b+c+d,3.972,5.707,1.735
P6.32,1+3*b+d,3.8810000000000002,5.678,1.797
P6.33,1+2*b+d+c,3.8089999999999997,5.62,1.811
P6.34,1+2*b+d+d,4.007,5.703,1.697
