No,DPO equation,BG,IP,EA
F4.1,2 - a + b + -af,4.126,5.713,1.587 
F4.2,3 - 3*a + -af,3.086,5.239,2.152
F4.3,2 - a + -af + b0,3.913,5.692,1.779
F4.4,1 + b + df,4.324,5.846,1.522
F4.5,2 - a + bf,3.538,5.5,1.962
F5.1,2 - a + b + -af + b0, 4.020,5.769,1.749
F5.2,2 - a + 2*b + -af,4.217,5.8,1.584
F5.3,2 - a + b + -af +b0,4.011,5.727,1.715
F5.4,2 - a + b + c + -af,3.716,5.545,1.829
F5.5,2 - a + b + d + -af,3.805,5.575,1.77
F5.6,3 - 3*a + b + -af,3.264,5.335,2.071
F5.7,4 - 6*a + -af,2.450,4.963,2.512
F5.8,2 - a + b + cf,3.551,5.54,1.988
F5.9,2 - a + b + bf,3.706,5.598,1.892
F5.10,2 - a + b + bf,3.685,5.567,1.882
F5.11,3 - 3*a + bf,2.795,5.149,2.354
F5.12,2 - a + b + b*df,3.681,5.574,1.893
F5.13,2 - a + b + df,3.585,5.536,1.951
F6.1,5 - 10*a + -af,1.984,4.757,2.773
F6.2,4 - 6*a + b + -af,2.607,5.047,2.439
F6.3,3 - 3*a + b + b*d + -af,3.337,5.382,2.045
F6.4,3 - 3*a + b + d + -af,3.095,5.265,2.17
F6.5,3 - 3*a + -af + 2*b0,3.079,5.363,2.284
F6.6,3 - 3*a + b + -af + b0,3.275,5.403,2.127
F6.7,2 - a + b + d + -af + b0,3.774,5.632,1.857
F6.8,2 - a + b + d + b*d + -af,3.789,5.563,1.774
F6.9,3 - 3*a + b + c + -af,3.048,5.236,2.187
F6.10,3 - 3*a + b + -af + b0,3.276,5.396,2.120
F6.11,3 - 3*a + 2*b + -af,3.361,5.405,2.043 
F6.12,2 - a + 2*b + d + -af,3.787,5.593,1.806
F6.13,2 - a + b + c + d + -af,3.62,5.478,1.858
F6.14,2 - a + 2*b + -af + b0,4.107,5.828,1.721
F6.15,2 - a + b + c + b*d + -af,3.802,5.582,1.780
F6.16,2 - a + b + c + -af + b0,3.704,5.604,1.900 
F6.17,2 - a + b + d + b*d + -af,3.86,5.615,1.755
F6.18,2 - a + 2*b + c + -af,3.847,5.593,1.746
F6.19,3 - 3*a + b + bf,2.959,5.25,2.291
F6.20,2 - a + 2*b + bf,3.804,5.667,1.863
F6.21,2 - a + 2*b + df,3.743,5.619,1.876
F6.22,2 - a + b + d + bf,3.451,5.482,2.031
F6.23,2 - a + b + d + b*df,3.417,5.456,2.039
F6.24,2 - a + b + df + df*(1-a),3.31,5.383,2.073
F6.25,3 - 3*a + b + df,2.85,5.205,2.355
F6.26,2 - a + b + d + cf,3.328,5.434,2.106
F6.27,2 - a + b + df + c,3.367,5.424,2.057
F6.28,2 - a + b + c + df*c,3.209,5.322,2.113
F6.29,2 - a + b + c + b*df,3.421,5.451,2.029
F6.30,3 - 3*a + bf + b,2.948,5.257,2.308
F6.31,3 - 3*a + b + cf,2.846 ,5.209,2.363
F6.32,3 - 3*a + b + b*df,2.934,5.24,2.306
T4.1,2 - a + bf + -af,3.959,5.597,1.638
T4.2,3 - 3*a + -af,3.45,5.322,1.872
T5.1,2 - a + 2*bf,3.554,5.493,1.938
T5.2,2 - a + -af + b + b*df,4.035,5.636,1.601
T5.3,2 - a + -af + b + cf,3.908,5.627,1.719
T5.4,2 - a + -af + b + df,3.94,5.634,1.694
T5.5,3 - 3*a + -af + bf,3.132,5.252,2.12
T5.6,4 - 6*a + -af,2.745,5.035,2.29
T5.7,2 - a + -af + b + bf,4.044,5.661,1.617
T6.1,5 - 10*a + -af,2.216,4.817,2.601
T6.2,4 - 6*a + -af + bf,2.508,4.987,2.479
T6.3,3 - 3*a + -af + b + b*df,3.279,5.334,2.055
T6.4,3 - 3*a + -af + b + df,3.171,5.305,2.134
T6.5,2 - a + -af + b + df + df*(1-a),3.55,5.43,1.88
T6.6,2 - a + -af + 2*b + b*df,4.11,5.74,1.63
T6.7,3 - 3*a + -af + bf + b,3.281,5.35,2.069 
T6.8,3 - 3*a + -af + b + cf,3.161,5.293,2.132
T6.9,2 - a + -af + b + c + c*df,3.466,5.397,1.931
T6.10,2 - a + b + df + cf,3.504,5.493,1.989
T6.11,2 - a + -af + b + c + b*df,3.678,5.530,1.853
T6.12,2 - a + -af + b + df + c,3.677,5.517,1.84
T6.13,2 - a + -af + bf + b + d,3.663,5.518,1.854
T6.14,2 - a + -af + b + b + df,3.961,5.667,1.706
T6.15,2 - a + -af + b + d + b*df,3.813,5.577,1.764
T6.16,2 - a + -af + bf + b + c,3.643,5.503,1.860
T6.17,2 - a + -af + b + b + cf,3.966,5.662,1.696
T6.18,2 - a + -af + b + cf + d,3.704,5.526,1.822
T6.19,2 - a + -af + b + d + b*df,3.719,5.546,1.827
T6.20,3 - 3*a + 2*bf,2.844,5.178,2.334
T6.21,2 - a + bf + b + cf,3.563,5.517,1.955
T6.22,2 - a + bf + b + df,3.596,5.526,1.93
