No,DPO equation,BG,IP,EA,smiles
P4.1,1+2*b,4.837,6.134,1.297,c12c3ccccc3c4ccccc4c1cccc2
P4.2,1+2*b,4.168,5.812,1.644,c1(c(ccc2c1cccc2)cc3)c4c3cccc4
P4.3,1+b+d,4.207,5.799,1.592,c1(ccccc1cc2)c3c2c4ccccc4cc3
P4.4,2-a+b,3.72,5.599,1.879,c1(ccccc1cc2cc3)cc2c4c3cccc4
P4.5,3-3*a,2.747,5.131,2.384,c12cc3cc4ccccc4cc3cc1cccc2
P5.1,1+2*b+d,4.2010000000000005,5.813,1.612,c1(ccccc1cc2)c3c2c4c5ccccc5ccc4cc3
P5.2,1+2*b+c,4.122,5.768,1.646,c1(c(ccc2c1c3ccccc3cc2)cc4)c5c4cccc5
P5.3,1+2*b+d,4.19,5.779,1.589,c1(ccccc1cc2)c3c2c4ccc5ccccc5c4cc3
P5.4,1+2*b+d,4.042,5.723,1.681,c1(ccccc1c2ccccc32)c4c3c5ccccc5cc4
P5.5,2-a+2*b,3.887,5.692,1.805,c1(c(ccc2c1cccc2)cc3cc4)cc3c5c4cccc5
P5.6,2-a+2*b,3.853,5.695,1.842,c12cc3ccccc3cc1c4ccccc4c5c2cccc5
P5.7,2-a+2*b,3.846,5.654,1.808,c1(ccc2ccccc2c1cc3cc4)cc3c5c4cccc5
P5.8,2-a+b+d*b,3.749,5.593,1.844,c12cc3c4cc5ccccc5cc4ccc3cc1cccc2
P5.9,2-a+b+c,3.411,5.448,2.037,c12c3cc4ccccc4cc3ccc1ccc5c2cccc5
P5.10,2-a+b+d,3.469,5.478,2.009,c12ccc3c4cc5ccccc5cc4ccc3c1cccc2
P5.11,3-3*a+b,2.92,5.226,2.307,c1(ccccc1cc2cc3cc4)cc2cc3c5c4cccc5
P5.12,4-6*a,2.188,4.87,2.682,c12cc3cc4cc5ccccc5cc4cc3cc1cccc2
P6.1,5-10*a,1.78,4.68,2.9,c12cc3cc4cc5cc6ccccc6cc5cc4cc3cc1cccc2
P6.2,4-6*a+b,2.336,4.952,2.616,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5cccc6
P6.3,3-3*a+b+d*b,2.998,5.274,2.276,c1(ccccc1cc2cc3cc4)cc2cc3c5c4cc6ccccc6c5
P6.4,3-3*a+b+d,2.782,5.165,2.383,c1(ccccc1cc2cc3cc4)cc2cc3c5c4c6ccccc6cc5
P6.5,2-a+b+d+d*(1-a),3.117,5.316,2.199,c1(ccccc1cc2cc3)cc2c4c3c5cc6ccccc6cc5cc4
P6.6,3-3*a+2*b,3.091,5.321,2.23,c1(c(ccc2c1cccc2)cc3cc4cc5)cc3cc4c6c5cccc6
P6.7,2-a+2*b+d,3.619,5.558,1.939,c1(c(ccc2c1cccc2)cc3cc4)cc3c5c4c6ccccc6cc5
P6.8,2 - a + b + d + b*d,3.469,5.479,2.01,c1(ccc2c34)cc5ccccc5cc1c2ccc3ccc6c4cccc6
P6.9,1+2*b+d+d*b,3.918,5.682,1.764,c1(c(ccc2c1cccc2)cc3)c4c3c5c6ccccc6ccc5cc4
